186985450394.8018, 2911111431176.583
238509729192.6345, 2951876915644.176
304226760618.1704, 3012995170017.9253
388046776242.1358, 3088913949231.2856
494949258230.06244, 3197020460969.8975
631294279498.6136, 3325906755833.6826
805179967710.748, 3493067308665.5864
1011302365319.1339, 3737847645109.3286
1309665558272.2588, 4057684225037.3086
1670361415252.3452, 4306416642140.05
2147402980907.1548, 4964682850562.923
2761851738219.055, 5422118720293.729
3541566396089.8687, 6076300579754.685
4516293869537.668, 6845889467512.377
13038871026726.336, 15074244738140.096
16082866199400.379, 17770486823779.223
19402492973910.47, 21330545755958.78
23668002622011.832, 25486696340751.4
28554574462099.473, 30019891324047.305
34070451978016.637, 35585473758159.24
41103414194982.18, 42476357410452.72
50138416260291.4, 51300411458971.125
60487649596641.12, 61460760088385.51
72972306498829.78, 73963509068873.36
88036388363840.81, 87941188864727.53
103887523000420.7, 103841309133764.44
123953660441404.33, 123820835766996.8
149543208805532.47, 146776783910947.2
176465333028828.16, 174707231053933.2
210553991577270.94, 206730451769581.22
251230771488719.34, 243407258338759.06
296453346913637, 292249720207811.5
357654080228094.7, 346599696530259.2
431477160759202.94, 415822745530752.2
514799894475049.25, 503063030156581.6
627985016008727.4, 597255784248847.1
749274768383972.1, 714960819265586.2
903922967419447.8, 861257882624293.4
1102644002499957.4, 1029240495253033
1286813710809003.8, 1233470392573300.8
1535466760141714.8, 1431341052019428.2
1899556956554568, 1722885155478527.5
2271267790745659.5, 2077506139231299
5586968516646845, 4731093850989564
6401708499189098, 5419098465145062
6044521068500.362, 8493330306765.46
8458995413576.664, 10675022383375.906
9567927678868482, 7453159674382262
2855467457733778, 2455109811975320
3572057544792769, 3035774464355060.5
4369486185701943.5, 3692970908750471.5
